id,Vendor Name,Contract ID,Title/Purpose,Execution Date,Original Expiration Date,Current Expiration Date,Original Contract Amount,Current Contract Amount,Selection Process,Funding Sources,Modifications
P-00318912,"LATINO NORTHWEST COMMUNICATIONS, LLC",P-00318912,VIDEO SERVICES CONCESSIONS SUMMIT SMALL BUSINESS @ STIA,1/4/2017,1/4/2018,1/4/2018,"$9,050.00","$9,050.00",C,00010,N
S-00318948,MARINE LUMBER SERVICE INC,S-00318948,LUMBER SUPPLIES,1/1/2017,12/31/2017,12/31/2017,"$25,000.00",$0.00,C,00010,N
C-00318944,ANDY H VALLEJO,C-00318944,CABLE TV SERVICES & MAINT STIA,1/1/2017,12/31/2019,12/31/2017,"$268,452.00","$268,452.00",W,03040,N
C-00318804,DYNAMIC SCIENCE INC,C-00318804,RAMP CONTROL TOWER SERVICES,1/1/2017,12/31/2021,12/31/2021,"$7,081,464.00","$7,081,464.00",C,03040,N
P-00318915,PLATINUM GROUP LLC,P-00318915,OUTREACH AND MARKETING,1/3/2017,8/24/2017,8/24/2017,"$35,000.00","$35,000.00",C,00010,N
C-00318947,REPUBLIC PARKING NORTHWEST INC,C-00318947,PARKING ENFORCEMENT AT FT,1/1/2017,12/31/2017,12/31/2017,"$11,632.80","$11,632.80",C,00010,N
S-00318941,PUGET SOUND COATINGS,S-00318941,REPAINT MAKI SCULPTURES,1/2/2017,12/31/2017,12/31/2017,"$49,900.00",$0.00,C,03040,N
P-00318774,Butterfly Consulting,P-00318774,CONSULTING SERVICES TO ENHANCE CUSTOMER SATISFACTION AT SEATTLE-TACOMA INTERNATIONAL AIRPORT,1/4/2017,1/4/2020,1/4/2020,"$180,000.00","$180,000.00",C,03040,N
P-00318888,JILLIAN LAMONT BATES,P-00318888,CDS SUPPORT SERVICES,1/1/2017,12/22/2017,12/22/2017,"$49,910.00","$49,910.00",S,00010,N
C-00318945,WILLIAMS SCOTSMAN INC,C-00318945,P & S NORTH OFFICE TRAILER,1/1/2017,12/31/2017,12/31/2017,"$6,223.68","$6,223.68",C,00010,N
P-00318736,HEERY INTERNATIONAL INC,P-00318736,1630 OHTA AV/EN,12/31/2016,12/30/2017,12/30/2017,"$2,000,000.00","$2,000,000.00",C,,N
P-00318901,PARTNER IN EMPLOYMENT,P-00318901,OUTREACH AND REFERRAL SERVICES,12/22/2016,12/21/2017,12/21/2017,"$25,000.00","$25,000.00",C,00020,N
SW-0318841,GOOD NEWS GROUP INC,SW-0318841,FLOORING AND WALL COVERING ON-CALL PORTWIDE 2016-2,12/29/2016,12/29/2017,3/29/2018,"$300,000.00","$300,000.00",C,,N
P-00318842,Computer Consultants International,P-00318842,SHAREPOINT CONSULTANT,12/28/2016,12/28/2017,12/28/2017,"$15,000.00","$15,000.00",C,03040,N
P-00318794,URBAN LEAGUE OF METROPOLITAN SEATTLE,P-00318794,OUTREACH AND REFERRAL SERVICES,12/22/2016,12/21/2017,12/21/2017,"$75,000.00","$75,000.00",C,00020,N
P-00318847,HEARTLAND LLC,P-00318847,STRATEGIC PLAN IMPLEMENTATION SUPPORT,12/16/2016,12/15/2019,12/15/2019,"$199,999.00","$199,999.00",C,03040,N
MC-0318671,KOLKAY ELECTRIC INC,MC-0318671,WI-FI ENHANCEMENT CONCOURSE C AND MAIN TERMINAL,12/19/2016,12/9/2017,9/30/2018,"$898,639.00","$898,639.00",C,03040,N
P-00318737,KWAME BUILDING GROUP INC,P-00318737,1630 OHTA AV/EN,12/15/2016,12/14/2017,12/14/2017,"$500,000.00","$500,000.00",C,,N
S-00318904,MVP PHYSICAL THERAPY,S-00318904,2016 PD FITNESS PROGRAM,12/16/2016,12/16/2017,12/14/2017,"$50,000.00",$0.00,C,00010,N
S-00318830,CITY OF BOTHELL,S-00318830,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF BOTHELL,12/16/2016,5/31/2017,5/31/2017,"$25,410.00",$0.00,S,00020,N
S-00318874,TOWN OF SKYKOMISH,S-00318874,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF SKYKOMISH,12/14/2016,5/31/2017,5/31/2017,"$5,000.00",$0.00,S,00020,N
L-00318902,DANIELSON HARRIGAN LEYH & TOLLEFSON LLP,L-00318902,LGL SERV RE SAO AUDIT MATTER,12/13/2016,12/31/2017,12/31/2017,"$33,000.00","$33,500.00",W,00010,Y
L-00318898,TRINDER AVIATION AEROSPACE ADVOCACY,L-00318898,FAA FINANCIAL COMPLIANCE AUDIT,12/9/2016,12/31/2017,12/31/2017,"$10,000.00","$50,000.00",W,03040,Y
S-00318826,CITY OF MAPLE VALLEY,S-00318826,2016 EDD ECONOMIC DEVELOPMENT PARTNERSHIP AGREEMENT MAPLE VALLEY,12/9/2016,5/31/2017,5/31/2017,"$24,700.00",$0.00,S,00020,N
S-00318834,CITY OF MERCER ISLAND,S-00318834,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF MERCER ISLAND,12/9/2016,5/31/2017,5/31/2017,"$23,480.00",$0.00,S,00020,N
MC-0318603,SCARSELLA BROS. INC.,MC-0318603,FLIGHT CORRIDOR SAFETY PROGRAM - PHASE I,12/8/2016,6/26/2017,12/26/2017,"$2,074,450.82",$0.00,C,,Y
P-00318858,BOB MURRAY AND ASSOCIATES,P-00318858,EXECUTIVE SEARCH SERVICES,12/6/2016,12/5/2017,12/5/2017,"$30,000.00","$30,000.00",C,00010,N
L-00318897,KIRKPATRICK & LOCKHART PRESTON GATES,L-00318897,T5 APL LEASE ISSUES,12/7/2016,12/31/2017,12/31/2017,"$10,000.00","$10,000.00",W,00SPA,N
L-00318884,KIRKPATRICK & LOCKHART PRESTON GATES,L-00318884,LGL SVC RE RNG,11/30/2016,12/31/2017,12/31/2017,"$30,000.00","$50,000.00",W,03040,Y
L-00318896,FOSTER PEPPER PLLC,L-00318896,APPEAL OF SEPA DETERMINATION,12/7/2016,12/31/2017,12/31/2017,"$15,000.00","$15,000.00",W,03040,N
L-00318885,SCHWABE WILLIAMSON & WYATT,L-00318885,LGL SVCS RE ROSE-LAUER V. POS,11/30/2016,12/31/2017,12/31/2017,"$10,000.00","$10,000.00",W,03040,N
S-00318881,GARY MERLINO CONSTRUCTION CO,S-00318881,2017 SNOW REMOVAL SERVICES,11/29/2016,4/30/2017,4/30/2017,$0.00,$0.00,C,03040,N
S-00318882,SCARSELLA BROS. INC.,S-00318882,2017 AOA SNOW REMOVAL,11/29/2016,4/30/2017,4/30/2017,"$40,000.00",$0.00,C,03040,N
C-00318878,PERFORMANCE FRANCHISING INC,C-00318878,PIER 66 JANITORIAL SERVICES,11/28/2016,11/30/2019,11/30/2019,"$270,000.00","$270,000.00",C,00010,N
L-00318871,BAE KIM & LEE LLC,L-00318871,HANJIN BANKRUPTCY MATTER,11/22/2016,12/31/2017,12/31/2017,"$20,000.00","$20,000.00",W,00SPA,N
P-00318862,CYNDI MITCHELL,P-00318862,EMPLOYEE SCREENING LEARNING COORDINATION CONSULTANT,11/29/2016,12/31/2017,12/31/2017,"$38,500.00","$38,500.00",C,,N
L-00318886,GARVEY SHUBERT & BARER,L-00318886,PO RE IUOE LOCAL 286 (VOIGHT).,11/30/2016,12/31/2017,12/31/2017,"$10,000.00","$10,000.00",W,03040,N
L-00318872,PACIFICA LAW GROUP,L-00318872,NSAT RENOVATION PROJECT.,11/22/2016,12/31/2017,12/31/2017,"$16,000.00","$16,000.00",W,03040,N
P-00318610,BROKIN NGLISH DESIGN,P-00318610,1910 RUDDICK ICT,11/28/2016,11/27/2017,11/27/2017,"$199,000.00","$199,000.00",C,03040,N
L-00318873,KIRKPATRICK & LOCKHART PRESTON GATES,L-00318873,HANJIN BANKRUPTCY AND TTI ISSUES MATTER,11/22/2016,12/31/2017,12/31/2017,"$20,000.00","$20,000.00",W,00SPA,N
S-00318788,CITY OF DUVALL,S-00318788,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF DUVALL,11/21/2016,5/31/2017,5/31/2017,"$7,345.00",$0.00,S,00020,N
S-00318822,CITY OF KENT,S-00318822,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF KENT,11/21/2016,5/31/2017,5/31/2017,"$65,000.00",$0.00,S,00020,N
P-00318725,DY CONSULTING ENGINEER PC,P-00318725,ON CALL PLANNING SERVICES,11/21/2016,11/20/2020,11/20/2020,"$500,000.00","$500,000.00",C,,N
MC-0318650,REGENCY NW CONSTRUCTION INC,MC-0318650,CONCOURSE B RAMP LEVEL HOLDROOM,11/22/2016,7/18/2017,4/27/2018,"$2,789,000.00","$2,789,000.00",C,03040,N
L-00318868,ROBYNNE T PARKINSON,L-00318868,LGL SVC RE CONCOURSE HARDSTAND,11/21/2016,12/31/2017,12/31/2017,"$30,000.00","$30,000.00",C,03040,N
SW-0318820,"PSF MECHANICAL, INC",SW-0318820,MECHANICAL PLUMBING HVAC ON-CALL PORTWIDE 2016,11/21/2016,11/21/2017,11/21/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318863,MCAULIFFE CONSULTING INC,P-00318863,CONSULTING SERVICES FOR POS FIRE DEPARTMENT,11/18/2016,6/30/2017,6/30/2017,"$40,000.00","$40,000.00",S,00010,N
P-00318815,ICF SH&E Inc.,P-00318815,WORKFORCE STAFFING ANALYSIS SERVICES,11/15/2016,11/14/2017,11/14/2017,"$198,000.00","$198,000.00",C,,N
MC-0318718,REGENCY NW CONSTRUCTION INC,MC-0318718,"CONCOURSE A,B AND C CARPET REPLACEMENT",11/14/2016,4/3/2017,4/3/2018,"$873,100.00","$873,100.00",C,03040,N
S-00318825,CITY OF BURIEN,S-00318825,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF BURIEN,11/17/2016,5/31/2017,5/31/2017,"$48,810.00",$0.00,S,00020,N
S-00318810,CITY OF SHORELINE,S-00318810,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF SHORELINE,11/11/2016,5/31/2017,5/31/2017,"$54,500.00",$0.00,S,00020,N
SW-0318818,SUMMIT ELECTRICAL SERVICES,SW-0318818,ELECTRIFIED CHARGING STATIONS,11/11/2016,12/30/2017,12/30/2017,"$300,000.00",$0.00,C,"03040, 03750, RET01",N
SW-0318819,NORTHWEST ASPHALT INC,SW-0318819,ASPHALT PAVING ON T-46,11/10/2016,7/6/2017,6/30/2017,"$300,000.00",$0.00,C,"00SPA, RET01",N
S-00318828,CITY OF TUKWILA,S-00318828,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF TUKWILA,11/8/2016,5/31/2017,5/31/2017,"$19,300.00",$0.00,S,00020,N
P-00318808,"Ceis, Bayne & East Strategic Inc.",P-00318808,REGIONAL AND LOCAL GOVERNEMENT ADVOCACY,11/4/2016,9/27/2017,11/4/2017,"$185,000.00","$185,000.00",C,00010,N
S-00318835,CITY OF MILTON WASHINGTON,S-00318835,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF MILTON,11/9/2016,5/31/2017,5/31/2017,"$5,000.00",$0.00,S,00020,N
S-00318142,COMPASS GROUP,S-00318142,BID 14-32 COFFEE & SUPPLIES,11/4/2016,11/3/2015,11/3/2017,"$20,237.40","$9,846.21",C,03040,Y
I-00318903,CITY OF SEATTLE,I-00318903,ILA,11/9/2016,12/31/2026,12/31/2026,"$3,993,000.00","$3,993,000.00",S,00075,N
P-00318691,DH ENVIRONMENTAL INC,P-00318691,ABOVE GROUND STORAGE TANK INSPECTIONS,11/4/2016,11/3/2017,11/3/2017,"$15,000.00","$15,000.00",C,,N
S-00318831,CITY OF COVINGTON,S-00318831,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF COVINGTON,11/8/2016,5/31/2017,5/31/2017,"$7,500.00",$0.00,S,00020,N
P-00318813,HARRIS MILLER MILLER & HANSON INC,P-00318813,SOLAR FEASIBILITY STUDY,11/3/2016,2/28/2017,2/28/2017,"$49,450.00","$49,450.00",C,03040,N
SW-0318857,HERZOG INDUSTRIES INC,SW-0318857,GLAZING D6 GATE MODIFICATIONS,11/2/2016,11/2/2018,11/2/2018,"$300,000.00","$300,000.00",C,"03040, RET01",N
SW-0318802,SUMMIT ELECTRICAL SERVICES,SW-0318802,ELECTRICAL ON-CALL PORTWIDE 2016-3,11/3/2016,12/30/2016,4/30/2018,"$300,000.00",$0.00,C,"03040, 03750, RET01",N
P-00318853,"QUANTUM SPATIAL, INC",P-00318853,COMMUNITY MEETING & OPEN HOUSE SUPPORT SERVICES,11/1/2016,12/31/2016,12/31/2016,"$5,524.00","$5,524.00",S,03040,N
C-00318924,PACCAR INC DBA KENWORTH TRUCK CO;,C-00318924,SPACE LEASE,11/1/2016,12/31/2017,12/31/2017,"$40,000.00","$40,000.00",C,03040,N
S-00318864,PACIFIC PRO TESTING,S-00318864,DRUG TESTING,11/2/2016,11/1/2017,10/31/2017,"$30,000.00",$0.00,C,03040,N
S-00318865,BOMBARDIER TRANSPORTATION,S-00318865,SATELLITE TRANSIT SYSTEM PARTS (SOLE SOURCE),11/1/2016,10/31/2020,10/31/2020,"$50,000.00",$0.00,C,,N
S-00318470,KEENEYS OFFICE SUPPLY INC,S-00318470,PORTWIDE COPIER PAPER,11/1/2016,10/31/2016,10/31/2017,$0.00,$0.00,C,,N
S-00318895,PROFILE SYSTEMS INC,S-00318895,"PRINTER ICT ONLY, TONER ALL",11/1/2016,10/31/2020,10/31/2018,"$50,000.00",$671.57,C,,N
S-00318837,PACIFIC PRO TESTING,S-00318837,DRUG AND ALCOHOL TESTING,11/1/2016,10/31/2020,10/31/2020,"$250,000.00","$6,065.82",C,,N
S-00318852,NRC ENVIRONMENTAL SERVICES,S-00318852,ENVIRONMENTAL CLEANING AND DISPOSAL,10/31/2016,10/31/2017,10/31/2017,"$50,000.00","$21,497.69",C,00010,N
P-00318790,Peter Gary Smedile,P-00318790,EMPLOYEE SCREENING POLICIES & TRAINING,10/28/2016,6/30/2017,6/30/2017,"$400,005.00","$400,005.00",C,03040,N
S-00318821,CITY OF SEATAC,S-00318821,2016 EDD ECONOMIC DEVELOPMENT GRANTS CITY OF SEATAC,10/27/2016,5/31/2017,5/31/2017,"$27,650.00",$0.00,S,00020,N
S-00318850,AUTOMATED EQUIPMENT COMPANY INC,S-00318850,GATE CONTROL SERVICE CALLS,10/27/2016,11/1/2017,11/1/2017,"$10,000.00",$0.00,C,00010,N
P-00318829,"FAITH GROUP, LLC",P-00318829,3320 CROWNER AVOPS,10/25/2016,10/24/2017,10/24/2017,"$45,000.00","$45,000.00",C,03040,N
SW-0318783,HERZOG INDUSTRIES INC,SW-0318783,GLASS & GLAZING ON-CALL PORTWIDE 2017 AVM,10/27/2016,10/27/2017,4/30/2018,"$300,000.00","$300,000.00",C,"03040, RET01",N
SW-0318849,FOY INDUSTRIAL ELECTRIC CORP,SW-0318849,ELECTRICAL ON CALL,10/26/2016,12/15/2017,10/26/2018,"$300,000.00","$300,000.00",C,"03040, 03750, RET01",N
MC-0318848,DUMMY VENDOR,MC-0318848,C3 HOLDROOM EXPANSION,10/25/2016,10/25/2016,10/25/2018,"$2,600,000.00",$0.00,C,,N
S-00318827,CITY OF WOODINVILLE,S-00318827,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF WOODINVILLE,10/26/2016,5/31/2017,5/31/2017,"$11,240.00",$0.00,S,00020,N
MC-0318667,KOLKAY ELECTRIC INC,MC-0318667,VIDEO SYSTEMS UPGRADE RAMP CAMERAS,10/26/2016,12/31/2017,12/31/2017,"$837,000.00",$0.00,C,03040,N
S-00318823,CITY OF RENTON,S-00318823,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF RENTON,10/25/2016,5/31/2017,5/31/2017,"$65,000.00",$0.00,S,00020,N
P-00318840,"CLOUD 5 SOLUTIONS, LLC",P-00318840,CAD REASSESSMENT SERVICES,10/24/2016,10/23/2017,10/23/2017,"$13,550.00","$13,550.00",C,00010,N
S-00318824,CITY OF SAMMAMISH,S-00318824,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF SAMMAMISH,10/25/2016,5/31/2017,5/31/2017,"$49,980.00",$0.00,S,00020,N
S-00318844,AT&T,S-00318844,MONTHLY WIRELESS SERVICE WSCA # 1907,10/19/2016,6/30/2019,6/30/2019,"$299,999.00",$0.00,C,,N
FA-0318838,DENA RIGBY,FA-0318838,STIA ART COLLECTION APPRAISAL,10/17/2016,10/28/2017,,"$20,000.00",$0.00,C,03040,N
S-00318785,CITY OF KIRKLAND,S-00318785,2016 EDD GRANT CITY OF KIRKLAND,10/17/2016,5/31/2017,5/31/2017,"$65,000.00","$4,616.57",S,00020,N
SW-0318839,GOOD NEWS GROUP INC,SW-0318839,GENERAL CONTRACTOR ON CALL AVM 2016-2,10/17/2016,1/11/2018,4/11/2018,"$300,000.00","$300,000.00",C,,N
S-00318782,CITY OF AUBURN,S-00318782,2016 EDD GRANT CITY OF AUBURN,10/17/2016,5/31/2017,5/31/2017,"$65,000.00",$0.00,S,00010,N
P-00318798,WISS JANNEY ELSTNER ASSOC INC,P-00318798,P69 UNDERDOCK CONDITION SURVEY,10/17/2016,12/31/2016,12/31/2016,"$27,400.00","$27,400.00",C,00010,N
S-00318843,AT&T,S-00318843,CELL PHONES AND ACCESSORIES,10/20/2016,10/19/2016,10/31/2019,"$290,000.00","$14,863.13",C,,N
FA-0318745,GENEVIEVE GAISER TREMBLAY,FA-0318745,ART OVERSIGHT COMMITTEE PARTICIPANT,10/13/2016,7/31/2019,10/12/2019,"$2,500.00","$2,500.00",S,,N
S-00318836,CITY OF NEWCASTLE,S-00318836,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF NEWCASTLE,10/12/2016,5/31/2017,5/31/2017,"$10,940.00",$0.00,S,00020,N
S-00318780,CITY OF ISSAQUAH,S-00318780,2016 EDD ECONOMIC DEVELOPMENT GRANTS CITY OF ISSAQUAH,10/12/2016,5/31/2017,5/31/2017,"$33,330.00",$0.00,S,00020,N
P-00318764,LEIGHFISHER INC,P-00318764,CONSULTING FOR THE PASSENGER FACILITY CHARGE APPLICATION,10/11/2016,12/31/2016,6/30/2017,"$49,999.99","$49,999.99",C,03040,Y
S-00318803,CITY OF BELLEVUE,S-00318803,2016 EDD GRANT CITY OF BELLEVUE,10/11/2016,5/31/2017,5/31/2017,"$65,000.00",$0.00,S,00020,N
SW-0318771,HERZOG INDUSTRIES INC,SW-0318771,GLAZING ON-CALL PORTWIDE 2016,10/10/2016,10/20/2017,10/20/2018,"$300,000.00","$300,000.00",C,"00010, 03040, 03750, RET01",N
P-00318690,FLOYD SNIDER INC,P-00318690,FACILITATION & PM SERVICES,10/10/2016,10/9/2017,10/9/2017,"$500,000.00","$500,000.00",C,00010,N
S-00318759,BLOOMBERG LP,S-00318759,BLOOMBERG SUBSCRIPTION EXTENSION REF. S-00312878,10/9/2016,10/8/2023,10/8/2019,"$150,000.00","$13,743.84",C,00010,N
P-00318689,MAUL FOSTER & ALONGI INC,P-00318689,FACILITATION & PM SERVICES IDIQ,10/5/2016,10/4/2017,10/4/2017,"$1,000,000.00","$1,000,000.00",C,03040,N
C-00318807,ELIZABETH ANN SMITH dba,C-00318807,AVIAN TRAPPING PROGRAM,10/1/2016,9/30/2017,9/30/2017,"$63,000.00","$63,000.00",C,03040,N
I-00318817,US FEDERAL AVIATION ADMIN,I-00318817,FAA IAF NON-FEDERAL REIMBURSABLE AGREEMENT,9/29/2016,9/29/2016,12/31/2017,"$396,247.45","$396,247.45",S,03040,N
MC-0318654,PCL CONSTRUCTION SERVICES INC,MC-0318654,CENTRAL TERMINAL STAIRS,9/29/2016,5/30/2017,1/30/2018,"$1,546,759.00","$1,546,759.00",C,03040,Y
L-00318816,SCHWABE WILLIAMSON & WYATT,L-00318816,HOSKINS V. POS,9/29/2016,12/31/2016,12/31/2017,"$25,000.00","$25,000.00",W,00010,Y
S-00318800,CITY OF SNOQUALMIE,S-00318800,2016 EDD GRANT CITY OF SNOQUALMIE,9/28/2016,5/31/2017,5/31/2017,"$8,000.00",$0.00,W,00020,N
C-00318809,"ROGUE IRONWORKS, LLC dba",C-00318809,GATE D6 RAMP STEEL PACKAGE,9/27/2016,9/26/2017,9/26/2017,"$300,000.00","$300,000.00",C,03040,N
P-00318580,ANCHOR QEA LLC,P-00318580,ENV REVIEW AND PERMITTING,9/26/2016,9/25/2017,9/25/2017,"$2,500,000.00","$2,500,000.00",C,03040,N
S-00318786,CITY OF NORMANDY PARK,S-00318786,2016 EDD GRANT NORMANDY PARK,9/23/2016,5/31/2017,5/31/2017,"$6,420.00",$0.00,S,00020,N
S-00318776,CITY OF KENMORE,S-00318776,2016 EDD GRANT CITY OF KENMORE,9/28/2016,5/31/2017,5/31/2017,"$21,500.00","$10,600.00",S,00020,N
P-00318770,"SOUNDEARTH STRATEGIES, INC.",P-00318770,ENVIRONMENTAL REVIEW AND PERMITTING IDIQ,9/26/2016,9/25/2017,9/25/2017,"$2,500,000.00","$2,500,000.00",C,00010,N
P-00318612,CRITICAL METRICS LLC,P-00318612,EMP ENGAGEMENT/PULSE SURVEYS SERVICES,9/28/2016,9/27/2017,9/27/2017,"$199,000.00","$199,000.00",C,00010,N
S-00318806,KENT SECURITY OF WASHINGTON,S-00318806,ATTENDANT SVC,9/22/2016,9/30/2016,9/30/2017,"$219,000.00","$64,467.36",C,03040,N
P-00318583,DH ENVIRONMENTAL INC,P-00318583,MARITIME ENVIRONMENTAL MANAGEMENT & COMPLIANCE,9/20/2016,9/19/2021,9/19/2021,"$1,625,000.00","$1,625,000.00",C,00010,Y
P-00318661,EA ENGINEERING SCIENCE & TECHNOLOGY INC,P-00318661,MARITIME ENVIRONMENTL MANAGEMENT & COMPLIANCE,9/20/2016,9/19/2021,9/19/2021,"$1,625,000.00","$1,625,000.00",C,00010,N
S-00318789,CITY OF CARNATION,S-00318789,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF CARNATION,9/20/2016,5/31/2017,5/31/2017,"$5,000.00",$0.00,S,00020,N
SW-0318762,PERFORMANCE ABATEMENT SERVICES,SW-0318762,RMM ON-CALL PORTWIDE 2016,9/20/2016,9/20/2017,3/31/2018,"$300,000.00","$300,000.00",C,"00010, 03040, RET01",N
S-00318805,BIRCH EQUIPMENT CO INC,S-00318805,EQUIPMENT RENTAL,9/20/2016,12/31/2024,12/31/2024,"$100,000.00",$0.00,C,,N
S-00318787,CITY OF REDMOND,S-00318787,2016 EDD GRANT CITY OF REDMOND,9/18/2016,5/31/2017,5/31/2017,"$59,180.00",$0.00,S,00020,N
SW-0318708,MCKINSTRY CO,SW-0318708,TELECOM FIBER OPTIC & COPPER CABLING B & C CONCOURSES ON-CALL,9/19/2016,9/19/2017,6/16/2017,"$300,000.00",$0.00,C,"03040, RET01",N
P-00318629,PAYFLEX,P-00318629,FSA,9/16/2016,12/31/2021,9/16/2021,"$295,000.00","$938,000.00",C,,N
C-00318812,SIMPLY MEASURED INC,C-00318812,SOCIAL MEDIA TRACKING SUBSCRIPTION PLAN,9/15/2016,2/28/2018,12/31/2017,"$9,600.00","$10,200.00",C,00010,Y
P-00318766,"FAITH GROUP, LLC",P-00318766,BAGWELL TRAFFIC PLAN,9/15/2016,12/31/2016,1/31/2017,"$49,639.00","$49,639.00",C,03040,N
C-00318845,MCKINNEY TRAILER AND CONTAINERS,C-00318845,P66 - LEASE (2) 53' VANS RENTAL OF UNITS 534424 & 533924,9/14/2016,2/13/2017,2/13/2017,"$4,200.00","$4,200.00",C,,N
S-00318781,CITY OF DES MOINES,S-00318781,2016 EDD GRANT CITY OF DES MOINES,9/14/2016,5/31/2017,5/31/2017,"$30,100.00",$0.00,S,00020,N
SW-0318731,SHINN MECHANICAL INC,SW-0318731,MECHANICAL AND PLUMBING ON-CALL 2016-2,9/13/2016,9/13/2017,12/29/2017,"$300,000.00",$0.00,C,"03040, RET01",N
S-00318791,CITY OF NORTH BEND,S-00318791,2016 EDD ECONOMIC DEVELOPMENT GRANT CITY OF NORTH BEND,9/8/2016,5/31/2017,5/31/2017,"$6,460.00",$0.00,S,00020,N
